NextDayCasesx,SvnDayCaseAvgx,FrtnDayCaseAvgx,SvnDayTestAvgx
7.068139095580985,7.821567278508176,6.737380120843467,7.438633765686291
5.711792554310589,8.047706569047063,6.951044904328486,7.5179383887528655
6.309633323165554,8.047706569047063,6.992202200406628,7.5823053372085045
5.631073755073815,8.13495493609962,7.190876469994079,7.606899574034022
4.686866148322636,8.091548891273943,7.341994037714884,7.5179383887528655
3.9669005165070788,7.5333110312916425,7.112778739624151,7.472139617604843
4.209175972049267,7.059322081486254,6.8244831172565785,7.3730707402929365
4.863844545663585,6.829231016736995,6.692960167684228,7.261015879361876
4.050788155884062,6.255020020980462,6.647937169946817,7.132637454231138
3.592461148736551,5.968281420006041,6.5090531947882795,7.132637454231138
3.257251049990369,5.313830649702392,6.413069756162866,7.132637454231138
4.2841674967169725,4.82878028794091,6.263519368847954,7.132637454231138
1.214383835013797,4.722286690182717,5.884355605744544,7.261015879361876
3.257251049990369,4.497659627248377,5.581771063847602,7.199156495963161
2.851169807579293,4.378812741816155,5.384354078373811,7.318822121791919
2.5205238507632006,3.848602091592677,4.9439342283389704,7.318822121791919
2.5205238507632006,3.5407407018049533,4.694798250004303,7.261015879361876
1.214383835013797,3.3725403111405807,4.220300257971563,7.199156495963161
3.692711667286877,3.1927757255974867,3.8872701353699135,7.199156495963161
2.6934000540561263,2.9993645240902738,3.7655820033624354,7.132637454231138
0,3.1927757255974867,3.637489563682239,7.261015879361876
2.3289018149229355,2.789562849140775,3.502159746230406,7.318822121791919
1.214383835013797,2.789562849140775,3.205479943876381,7.3730707402929365
0,2.559639974167417,3.0412822628815017,7.423824517239334
2.1133254398761623,2.3043184128106726,2.8639355981813126,7.5179383887528655
1.214383835013797,2.3043184128106726,2.670731352953302,7.561468416342629
1.214383835013797,1.6813370693850889,2.4579705955560214,7.472139617604843
1.214383835013797,1.2789047695474864,2.4579705955560214,7.472139617604843
1.8659319304856374,1.6813370693850889,2.220394846402668,7.423824517239334
2.3289018149229355,1.2789047695474864,2.220394846402668,7.5635448696756455
1.214383835013797,1.6813370693850889,1.9501267867798693,7.565320787775699
2.3289018149229355,1.6813370693850889,1.9501267867798693,7.607745197151273
3.257251049990369,1.6813370693850889,1.9501267867798693,7.8078847752009315
4.131459496143984,2.3043184128106726,1.9501267867798693,7.913957514325868
3.692711667286877,2.9993645240902738,2.220394846402668,8.074401412162699
3.692711667286877,3.3725403111405807,2.4579705955560214,8.18967051741941
3.375459148646048,3.5407407018049533,2.670731352953302,8.195296219939536
3.257251049990369,3.698998196308782,2.8639355981813126,8.34677815615146
0,3.9905961344862626,3.0412822628815017,8.509870189120104
3.8794974670344295,3.848602091592677,2.8639355981813126,8.619369318525752
2.6934000540561263,3.9905961344862626,3.0412822628815017,8.749057073232612
3.486930215529366,3.698998196308782,3.205479943876381,8.829493049520483
1.214383835013797,3.698998196308782,3.3585762566956263,8.924706535101539
2.3289018149229355,3.3725403111405807,3.205479943876381,8.991062255645998
3.8794974670344295,3.1927757255974867,3.205479943876381,9.028676035436865
2.9964824161297647,3.1927757255974867,3.502159746230406,9.0422586743473925
2.3289018149229355,3.5407407018049533,3.502159746230406,9.067016188826067
2.1133254398761623,3.1927757255974867,3.3585762566956263,9.05094669137222
2.6934000540561263,3.1927757255974867,3.205479943876381,9.029825291945489
2.1133254398761623,2.9993645240902738,3.205479943876381,8.936128114832174
2.5205238507632006,2.9993645240902738,3.0412822628815017,8.933501108804899
3.131330103923832,2.9993645240902738,3.0412822628815017,8.882647473225546
2.3289018149229355,2.789562849140775,2.8639355981813126,8.83705600022747
2.851169807579293,2.789562849140775,3.0412822628815017,8.780619674316423
0.7380988386138667,2.789562849140775,2.8639355981813126,8.683627602120215
1.8659319304856374,2.789562849140775,2.8639355981813126,8.763567594893814
2.5205238507632006,2.559639974167417,2.670731352953302,8.810854328597491
2.851169807579293,2.559639974167417,2.670731352953302,8.733912186557925
2.1133254398761623,2.789562849140775,2.8639355981813126,8.966864256169192
2.9964824161297647,2.559639974167417,2.670731352953302,8.95381759256255
1.5739574262827838,2.559639974167417,2.670731352953302,8.936250105797667
1.5739574262827838,2.559639974167417,2.4579705955560214,8.959950496970421
2.851169807579293,2.559639974167417,2.4579705955560214,8.839175421732179
2.3289018149229355,2.789562849140775,2.4579705955560214,8.780838923535619
2.5205238507632006,2.559639974167417,2.4579705955560214,8.783829747148163
1.214383835013797,2.559639974167417,2.4579705955560214,8.424132533421316
1.5739574262827838,2.559639974167417,2.4579705955560214,8.331672760374257
1.5739574262827838,2.3043184128106726,2.4579705955560214,8.176841273016981
0.7380988386138667,2.3043184128106726,2.220394846402668,8.10396291015738
1.5739574262827838,2.0157373696210374,2.220394846402668,8.126816694332767
1.5739574262827838,2.0157373696210374,2.220394846402668,8.0788508072280365
2.5205238507632006,1.6813370693850889,2.220394846402668,8.039684672180572
1.5739574262827838,1.6813370693850889,2.220394846402668,8.1502978414232
3.131330103923832,1.6813370693850889,2.220394846402668,8.193280923151997
3.692711667286877,2.0157373696210374,2.220394846402668,8.281071497247689
3.131330103923832,2.559639974167417,2.220394846402668,8.358890217875988
2.6934000540561263,2.9993645240902738,2.4579705955560214,8.34520681559868
4.050788155884062,2.9993645240902738,2.4579705955560214,8.349671632782476
3.788234467384983,3.5407407018049533,2.670731352953302,8.363995922646907
3.131330103923832,3.698998196308782,2.8639355981813126,8.346657384841325
3.788234467384983,3.848602091592677,2.8639355981813126,8.445299072553372
5.416762072854277,3.9905961344862626,3.0412822628815017,8.531309261419741
2.9964824161297647,4.497659627248377,3.502159746230406,8.53101646365974
3.692711667286877,4.497659627248377,3.637489563682239,8.624290310473821
3.9669005165070788,4.6120239166974155,3.7655820033624354,8.652563070211402
4.863844545663585,4.6120239166974155,3.8872701353699135,8.68957849138058
4.686866148322636,4.82878028794091,4.114091413014767,8.819351150734738
6.402043870406239,5.128398067157573,4.322295932671556,8.894830164273545
