"","CumulativeCases","CumulativeTests","DailyCases","DailyTests","SvnDayCaseAvg","FrtnDayCaseAvg","SvnDayTestAvg","FrtnDayTestAvg","NextDayCases"
"147",18779,2131896,134,14811,175,230,18730,20396,144
"148",18923,2144956,144,13060,166,212,18097,18894,106
"149",19029,2158436,106,13480,147,204,17721,18433,108
"150",19137,2183906,108,25470,139,185,18463,18756,81
"151",19218,2203769,81,19863,125,170,18397,18824,112
"152",19330,2221883,112,18114,112,161,17935,18456,65
"153",19395,2236204,65,14321,107,147,17017,17939,58
"154",19453,2250644,58,14440,96,136,16964,17847,86
"155",19539,2260797,86,10153,88,127,16549,17323,112
"156",19651,2274709,112,13912,89,118,16610,17166,79
"157",19730,2357018,79,82309,85,112,24730,21597,64
"158",19794,2382049,64,25031,82,104,25469,21933,59
"159",19853,2397869,59,15820,75,93,25141,21538,36
"160",19889,2416207,36,18338,71,89,25715,21366,41
"161",19930,2429145,41,12938,68,82,25500,21232,73
"162",20003,2437849,73,8704,66,77,25293,20921,51
"163",20054,2454535,51,16686,58,73,25689,21150,28
"164",20082,2469340,28,14805,50,68,16046,20388,33
"165",20115,2482681,33,13341,46,64,14376,19922,35
"166",20150,2497134,35,14453,42,59,14181,19661,37
"167",20187,2514530,37,17396,43,57,14046,19880,39
"168",20226,2523467,39,8937,42,55,13475,19487,32
"169",20258,2532270,32,8803,36,51,13489,19391,27
"170",20285,2546644,27,14374,33,45,13158,19424,42
"171",20327,2560891,42,14247,35,43,13079,14562,22
"172",20349,2576801,22,15910,33,40,13446,13911,8
"173",20357,2588753,8,11952,30,36,13088,13635,9
"174",20366,2601214,9,12461,26,34,12383,13215,25
"175",20391,2608378,25,7164,24,33,12130,12802,24
"176",20415,2619501,24,11123,22,29,12462,12975,5
"177",20420,2635242,5,15741,19,26,12657,12908,13
"178",20433,2648579,13,13337,15,25,12527,12803,12
"179",20445,2661039,12,12460,14,24,12034,12740,15
"180",20460,2677066,15,16027,15,22,12616,12852,4
"181",20464,2687746,4,10680,14,20,12362,12373,9
"182",20473,2694553,9,6807,12,18,12311,12220,11
"183",20484,2702779,11,8226,10,16,11897,12179,14
"184",20498,2720716,14,17937,11,15,12211,12434,6
"185",20504,2735425,6,14709,10,13,12407,12467,8
"186",20512,2747975,8,12550,10,12,12419,12227,12
"187",20524,2759256,12,11281,9,12,11741,12179,11
